station,type,numof.routes,lat,long,routelist,HRA_name,geometry
Metro Stop,KC Metro,2,47.77090189,-122.383145,302 348,Shoreline,"c(-122.383144971773, 47.7709018912554)"
Metro Stop,KC Metro,2,47.77179105,-122.3869828,302 348,Shoreline,"c(-122.386982782619, 47.7717910542389)"
Metro Stop,KC Metro,2,47.76791759,-122.1910036,230 522E,Bothell and Woodinville,"c(-122.191003606247, 47.7679175895146)"
Metro Stop,KC Metro,1,47.76899036,-122.1830155,230,Bothell and Woodinville,"c(-122.183015467771, 47.7689903627447)"
Metro Stop,KC Metro,2,47.64465038,-122.0564708,216 269,Bear Creek and Greater Sammamish,"c(-122.056470827975, 47.6446503848192)"
Metro Stop,KC Metro,2,47.64188524,-122.0552455,216 269,Sammamish,"c(-122.055245483539, 47.6418852413675)"
Metro Stop,KC Metro,3,47.67150822,-122.1000103,216N 268 269,Redmond - South,"c(-122.100010268649, 47.6715082154758)"
Metro Stop,KC Metro,2,47.63769851,-122.0468066,216 269,Sammamish,"c(-122.046806556822, 47.6376985134543)"
Metro Stop,KC Metro,3,47.63139033,-122.0355454,216 269 554E,Sammamish,"c(-122.035545421345, 47.6313903265046)"
Metro Stop,KC Metro,2,47.62962752,-122.0355534,216 269,Sammamish,"c(-122.035553352383, 47.6296275248408)"
Metro Stop,KC Metro,1,47.74070354,-122.2093235,230,Bothell and Woodinville,"c(-122.209323515279, 47.7407035400855)"
Metro Stop,KC Metro,1,47.74052564,-122.2093879,230,Bothell and Woodinville,"c(-122.20938790185, 47.7405256358403)"
Metro Stop,KC Metro,1,47.74658869,-122.2129188,230,Bothell and Woodinville,"c(-122.212918832007, 47.7465886850267)"
Metro Stop,KC Metro,1,47.74621194,-122.2128966,230,Bothell and Woodinville,"c(-122.212896621372, 47.7462119403609)"
Metro Stop,KC Metro,1,47.75044073,-122.2119723,230,Bothell and Woodinville,"c(-122.211972298075, 47.7504407250224)"
Metro Stop,KC Metro,3,47.71534876,-122.1857898,237 311 342,Kirkland - South,"c(-122.185789813669, 47.7153487565889)"
Metro Stop,KC Metro,4,47.74129029,-122.187673,237 239 311 342,Bothell and Woodinville,"c(-122.187673045181, 47.7412902904609)"
Metro Stop,KC Metro,2,47.61735669,-122.2039729,246 271,Bellevue - West,"c(-122.203972899415, 47.6173566941843)"
Metro Stop,KC Metro,3,47.77410118,-122.3369019,331 342 346,Shoreline,"c(-122.336901874497, 47.7741011806082)"
Metro Stop,KC Metro,1,47.61297778,-122.3400072,7,"Seattle - South Lake Union, Cascade, and Eastlake","c(-122.340007162375, 47.6129777758641)"
Metro Stop,KC Metro,1,47.37466829,-122.0245554,907,Maple Valley,"c(-122.024555355589, 47.3746682939404)"
Metro Stop,KC Metro,1,47.38307585,-122.0316985,907,Maple Valley,"c(-122.031698549546, 47.3830758506717)"
Metro Stop,KC Metro,1,47.68004496,-122.1638153,225,Redmond - South,"c(-122.163815277873, 47.6800449629777)"
Metro Stop,KC Metro,1,47.681683,-122.1638126,225,Redmond - South,"c(-122.163812555543, 47.6816830017391)"
Metro Stop,KC Metro,1,47.68396908,-122.1640335,225,Redmond - South,"c(-122.164033506663, 47.683969079771)"
Metro Stop,KC Metro,1,47.54995602,-122.0402715,269,Issaquah,"c(-122.040271511011, 47.5499560188652)"
Metro Stop,KC Metro,1,47.55010046,-122.0412833,269,Issaquah,"c(-122.041283273618, 47.5501004582012)"
Metro Stop,KC Metro,2,47.63603464,-122.0424637,216 269,Sammamish,"c(-122.04246372772, 47.636034640834)"
Metro Stop,KC Metro,1,47.54906049,-122.0296687,269,Issaquah,"c(-122.029668691484, 47.5490604934198)"
Metro Stop,KC Metro,2,47.63614691,-122.0423487,216 269,Sammamish,"c(-122.042348697239, 47.6361469064186)"
Metro Stop,KC Metro,2,47.64422895,-122.0566759,216 269,Sammamish,"c(-122.056675947631, 47.6442289549334)"
Metro Stop,KC Metro,1,47.54941389,-122.0268541,269,Issaquah,"c(-122.026854095319, 47.5494138932301)"
Metro Stop,KC Metro,3,47.57465111,-122.0222098,216 269 554E,Sammamish,"c(-122.022209824331, 47.5746511074092)"
Metro Stop,KC Metro,1,47.66844324,-122.1874757,342,Kirkland - South,"c(-122.187475717289, 47.6684432433338)"
Metro Stop,KC Metro,1,47.61006315,-122.1991179,249,Bellevue - West,"c(-122.199117910167, 47.6100631493898)"
Metro Stop,KC Metro,1,47.61003476,-122.1954477,246,Bellevue - West,"c(-122.195447691539, 47.6100347562597)"
Metro Stop,KC Metro,2,47.61038403,-122.190725,240 342,Bellevue - West,"c(-122.19072501107, 47.6103840277275)"
Metro Stop,KC Metro,2,47.61142152,-122.1909589,240 342,Bellevue - West,"c(-122.190958868858, 47.6114215208539)"
Metro Stop,KC Metro,3,47.60686412,-122.1908724,240 246 342,Bellevue - West,"c(-122.190872407302, 47.6068641164745)"
Metro Stop,KC Metro,3,47.60430303,-122.190838,240 246 342,Bellevue - West,"c(-122.190838033037, 47.6043030281845)"
Metro Stop,KC Metro,2,47.77655368,-122.3126149,331 342,Shoreline,"c(-122.312614938142, 47.7765536830098)"
Metro Stop,KC Metro,1,47.75498452,-122.0622632,232,Bear Creek and Greater Sammamish,"c(-122.062263227913, 47.7549845193609)"
Metro Stop,KC Metro,2,47.53563103,-122.3155903,124 60,"Seattle - South Beacon Hill, Georgetown, and South Park","c(-122.315590312387, 47.5356310308113)"
Metro Stop,KC Metro,2,47.48695976,-122.2578253,101 102,Skyway,"c(-122.257825336679, 47.4869597552806)"
Metro Stop,KC Metro,2,47.48205064,-122.2458158,101 102,Skyway,"c(-122.245815827797, 47.4820506435456)"
Metro Stop,KC Metro,2,47.47961986,-122.2327144,101 102,Renton - South,"c(-122.232714358037, 47.4796198625763)"
Metro Stop,KC Metro,2,47.4777749,-122.2239168,101 102,Renton - North,"c(-122.2239167928, 47.4777749033505)"
Metro Stop,KC Metro,3,47.47960536,-122.2187643,101 102 107,Renton - North,"c(-122.218764292731, 47.4796053649147)"
Metro Stop,KC Metro,1,47.46601684,-122.2494213,150,Tukwila,"c(-122.24942127595, 47.4660168366792)"
Metro Stop,KC Metro,1,47.47159567,-122.2544618,150,Tukwila,"c(-122.25446184503, 47.4715956729804)"
Metro Stop,KC Metro,1,47.47625364,-122.2587746,150,Tukwila,"c(-122.258774610635, 47.4762536436076)"
Metro Stop,KC Metro,2,47.48230006,-122.2680366,150 193E,Tukwila,"c(-122.268036599649, 47.4823000597693)"
