FEATUREDES,NAME,ZIPCODE,LONG_CEN,LAT_CEN,DISTRICT,lat,long,HRA_name,geometry
School-Elementary,St. Anthony Elementary School,98057,-122.2129878,47.47841298,RENTON,-122.2129855,47.47841501,Renton - North,"c(-122.212985508456, 47.4784150134904)"
School-K-12,Pacific Christian Academy,98003,-122.3087318,47.29885655,FEDERAL WAY,-122.3087285,47.29885838,Federal Way - Dash Point and Southern Rim,"c(-122.308728491252, 47.2988583790907)"
School-Alternative,TAF@Saghalie,98023,-122.3549991,47.29757189,FEDERAL WAY,-122.3549958,47.29757362,Federal Way - Dash Point and Southern Rim,"c(-122.354995794386, 47.2975736220633)"
School-K-12,The Bush School,98112,-122.2886664,47.6229109,SEATTLE,-122.2886648,47.62291278,"Montlake, Madison Park, and Madrona","c(-122.288664766611, 47.6229127774013)"
School-Elementary,Our Lady of Guadalupe Catholic School,98126,-122.3756382,47.53887101,SEATTLE,-122.3756361,47.53887279,Seattle - Delridge,"c(-122.375636109828, 47.5388727915861)"
School-Junior High/Middle,Sequoyah Middle School,98001,-122.2884043,47.27793822,FEDERAL WAY,-122.2884008,47.27794009,"Lakeland, Algona, Pacific, and Milton","c(-122.288400796002, 47.2779400856096)"
School-Junior High/Middle,Madison Middle School,98116,-122.3902832,47.57297989,SEATTLE,-122.3902813,47.57298163,Seattle - West Seattle,"c(-122.390281254885, 47.5729816334003)"
School-Elementary,Timber Ridge Elementary School,98065,-121.8815036,47.52510975,SNOQUALMIE VALLEY,-121.8815018,47.52511239,Snoqualmie and North Bend,"c(-121.881501805094, 47.5251123898422)"
School-Elementary,Panther Lake Elementary School,98003,-122.333393,47.29356102,FEDERAL WAY,-122.3333896,47.29356279,Federal Way - Dash Point and Southern Rim,"c(-122.333389641307, 47.2935627908005)"
School-Alternative,Federal Way Public Academy,98003,-122.3220095,47.29122168,FEDERAL WAY,-122.3220061,47.29122348,Federal Way - Dash Point and Southern Rim,"c(-122.322006078044, 47.2912234807247)"
School-Elementary,Chinook Elementary School,98092,-122.1810663,47.28961897,AUBURN,-122.1810629,47.28962107,Auburn - South,"c(-122.181062876355, 47.2896210662244)"
School-Elementary,Lakeland Elementary School,98001,-122.2933932,47.28042943,FEDERAL WAY,-122.2933897,47.28043128,"Lakeland, Algona, Pacific, and Milton","c(-122.293389719087, 47.2804312777062)"
School-High,Todd Beamer High School,98003,-122.3143784,47.27746942,FEDERAL WAY,-122.314375,47.27747122,Federal Way - Dash Point and Southern Rim,"c(-122.314374950138, 47.2774712228715)"
