"hra_name","year","bedrooms","n","mean","sd","min","Q_25","Q_50","Q_75","max"
"Bellevue - West","2020","3",121,3783.00943396226,1587.93753322792,42,3208.25,3798.5,4407.5,9200
"Bellevue - West","2020","4+",29,4032.8,1456.0849906513,1500,3495,3650,4950,7500
"Bellevue - West","2021","0",634,1703.63406940063,374.141935845392,452,1472,1635,1905,6200
"Bellevue - West","2021","1",2225,2246.24460431655,514.182228731549,434,1812.75,2193.5,2580,4595
"Bellevue - West","2021","2",1647,3059.27764277035,773.129626991534,300,2535.5,3048,3502.5,6290
"Bellevue - West","2021","3",77,3822.71428571429,1316.44450236975,1895,2800,3750,4644,7995
"Bellevue - West","2021","4+",23,4140.17391304348,1312.43537164429,1850,3625,3999,4500,7200
"Bellevue - West","2022","0",399,1850.36842105263,306.222448630878,446,1635,1820,1999.5,2907
"Bellevue - West","2022","1",1356,2582.99704579025,593.690173545272,413,2277,2515.5,2860.25,6260
"Bellevue - West","2022","2",921,3369.26304347826,954.515075707824,300,2817.25,3395,3845,6400
"Bellevue - West","2022","3",26,4683.61538461538,1235.89190714797,2305,3981.5,4975,5532,7360
"Bellevue - West","2022","4+",7,4157.14285714286,1838.80136942261,1200,3950,3950,4275,7500
"Bothell and Woodinville","2017","0",1,1451,NA,1451,1451,1451,1451,1451
"Bothell and Woodinville","2017","1",14,1513.35714285714,104.453601876886,1350,1451.25,1511,1593.5,1664
"Bothell and Woodinville","2017","2",64,1782.015625,164.621595160702,1577,1679.75,1765.5,1874.75,2640
"Bothell and Woodinville","2017","3",39,2230.87179487179,204.596030661602,1500,2152,2240,2296,2724
"Bothell and Woodinville","2017","4+",4,2722.5,170.31832941094,2500,2646.25,2745,2821.25,2900
"Bothell and Woodinville","2018","1",136,1555.33823529412,90.5830677161176,1325,1495,1556.5,1609,1815
"Bothell and Woodinville","2018","2",136,1791.11029411765,171.113376873633,700,1661.25,1825,1902.75,2156
"Bothell and Woodinville","2018","3",25,2421.36,394.11968148436,1800,2158,2495,2750,3100
"Bothell and Woodinville","2018","4+",6,2916.66666666667,329.646275068696,2500,2800,2875,2950,3500
"Bothell and Woodinville","2019","1",70,1518.109375,335.567518207281,42,1495,1577.5,1645,1975
"Bothell and Woodinville","2019","2",144,1783.04379562044,417.855288569485,42,1785,1855,1925,2527
"Bothell and Woodinville","2019","3",51,2228.5652173913,682.053554501206,42,2250,2425,2500,3250
"Bothell and Woodinville","2019","4+",12,3114.16666666667,335.849217610667,2800,2898.75,3072.5,3123.75,3995
"Bothell and Woodinville","2020","1",10,1934.71428571429,295.082877785047,1513,1721.5,1952,2192.5,2250
"Bothell and Woodinville","2020","2",13,1564.16666666667,845.674753010156,42,1498.25,1901,2065.75,2274
"Bothell and Woodinville","2020","3",7,2404.57142857143,421.289234431191,1700,2262.5,2346,2630.5,3000
"Bothell and Woodinville","2021","1",39,1865.25641025641,118.285052209687,1575,1778,1893,1972,2070
"Bothell and Woodinville","2021","2",73,2062.24657534247,256.722168286063,1700,1899,1993,2199,2904
"Bothell and Woodinville","2021","3",12,2764.83333333333,282.081172499669,2395,2619.75,2711.5,2873.5,3250
"Bothell and Woodinville","2021","4+",2,4100,212.132034355964,3950,4025,4100,4175,4250
"Bothell and Woodinville","2022","1",21,1524.28571428571,376.538728799196,1100,1100,1700,1875,2003
"Bothell and Woodinville","2022","2",6,2328.5,83.799164673641,2219,2270.5,2341,2365,2450
"Bothell and Woodinville","2022","3",4,2574.75,709.683203972026,1650,2287.5,2650,2937.25,3349
"Burien","2017","0",40,1294.5,255.061782359711,911,1050,1362,1480,1744
"Burien","2017","1",435,1335.08064516129,248.105580676113,750,1200,1275,1443.75,2612
"Burien","2017","2",628,1451.54140127389,258.377466797303,160,1345,1360,1549,2884
"Burien","2017","3",34,1810.79411764706,296.934721875463,1077,1612.5,1900,1993.75,2400
"Burien","2017","4+",23,2400.65217391304,421.105969031727,1355,2147.5,2495,2600,3300
"Burien","2018","0",104,1242.61538461538,262.915443149414,675,1050,1175,1500,1713
"Burien","2018","1",1246,1436.70819935691,323.601608256113,100,1215,1390.5,1623,2639
"Burien","2018","2",1155,1523.27556325823,322.317750558572,150,1350,1495,1678.75,4500
"Burien","2018","3",225,1906.68,648.029082515372,426,1700,1900,2185,7300
"Burien","2018","4+",57,2729.47368421053,574.186290864334,1400,2495,2800,3000,4400
"Burien","2019","0",51,1150.68888888889,427.577681523923,200,925,1125,1523,2000
"Burien","2019","1",736,1380.86031746032,361.406987570033,150,1199,1309,1605.75,3900
"Burien","2019","2",766,1519.25887573964,372.818883039384,65,1389,1495,1679.5,4000
"Burien","2019","3",151,2719.57037037037,5866.31512979831,500,1775,2085,2400,50000
"Burien","2019","4+",65,13223.3928571429,66960.6430502083,42,2198.75,2500,2861.25,5e+05
"Burien","2020","0",9,1225.11111111111,274.901548033312,750,1150,1200,1432,1582
"Burien","2020","1",309,1248.07364341085,362.826043368178,200,1207,1260,1306,4800
"Burien","2020","2",326,1477.43006993007,285.279340489581,150,1375,1442,1559,3245
"Burien","2020","3",20,2138.35294117647,677.45026950106,900,1700,2200,2700,3045
"Burien","2020","4+",23,30482.75,111111.361912213,2195,2398.75,3075,3696.25,499950
"Burien","2021","0",12,1082.41666666667,263.689024259925,500,975,1155.5,1295,1395
"Burien","2021","1",595,1348.11764705882,210.892794205143,294,1250,1298,1382,2513
"Burien","2021","2",202,1665.17821782178,876.705449790481,574,1375,1597.5,1740,13375
"Burien","2021","3",29,2434.68965517241,505.692319177261,1500,2145,2495,2549,3800
"Burien","2021","4+",4,3312.5,683.587351160528,2750,2787.5,3150,3675,4200
"Burien","2022","0",14,1554,145.761132310049,1216,1562,1562.5,1624.5,1736
"Burien","2022","1",287,1803.64111498258,240.716863791131,157,1703,1756,1980,2468
"Burien","2022","2",128,2073,314.353028888944,1495,1968,2103,2136.25,3212
"Burien","2022","3",13,2935.92307692308,551.299443971311,2450,2625,2673,2995,4200
"Burien","2022","4+",7,3117.71428571429,1056.62429688225,1500,2549.5,3030,3847.5,4500
"Covington","2017","1",42,1694.59523809524,1547.6247112288,1023,1335,1395,1560,11385
"Covington","2017","2",102,1566.98039215686,80.1854262445671,1223,1515,1565,1622.5,1740
"Covington","2017","3",85,1967.27058823529,1721.9293884383,1695,1745,1799,1815,17650
"Covington","2017","4+",3,2214.66666666667,200.350526161858,1999,2124.5,2250,2322.5,2395
"Covington","2018","0",1,NA,NA,Inf,NA,NA,NA,-Inf
"Covington","2018","1",277,1464.96750902527,137.51680671437,400,1375,1415,1570,1930
"Covington","2018","2",604,1670.42218543046,118.4811097644,155,1599,1693,1765,1930
"Covington","2018","3",368,1787.34604904632,158.4994962307,725,1715,1770,1815,2500
"Covington","2018","4+",17,2521.76470588235,300.436875527074,1650,2395,2650,2650,2900
"Covington","2019","0",1,NA,NA,Inf,NA,NA,NA,-Inf
"Covington","2019","1",244,1480.79130434783,248.571991299409,300,1399,1495,1590,1792
"Covington","2019","2",435,1705.1225,882.253470073875,250,1649,1713,1725,18760
"Covington","2019","3",161,1756.39716312057,404.858544598915,300,1799,1870,1946,2500
"Covington","2019","4+",11,16663.9,45093.6882980559,1950,2162.5,2495,2699.75,145000
"Covington","2020","1",31,1296.32142857143,300.970289363195,400,1344,1344,1344,1740
"Covington","2020","2",34,1574.28125,173.114587144637,1299,1343.75,1612,1612,1883
"Covington","2020","3",19,28002.75,107189.345036093,300,400,1236.5,1974.25,429950
"Covington","2020","4+",1,1537,NA,1537,1537,1537,1537,1537
"Covington","2021","1",305,1335.51147540984,110.038632717106,1120,1343,1344,1344,1990
"Covington","2021","2",77,1629.58441558442,118.650010607198,1343,1612,1612,1612,2280
"Covington","2021","3",17,2270.11764705882,327.112152470858,1697,2160,2200,2580,2585
"Covington","2021","4+",3,2681.66666666667,748.169989596838,1850,2372.5,2895,3097.5,3300
"Covington","2022","1",41,1420.34146341463,84.0352931083416,1100,1344,1456,1456,1695
"Covington","2022","2",90,1628.03333333333,54.3046855842522,1456,1612,1612,1612,1747
"Covington","2022","3",4,2156.25,334.299641040788,1680,2066.25,2247.5,2337.5,2450
"Covington","2022","4+",2,3137.5,194.454364826301,3000,3068.75,3137.5,3206.25,3275
"Des Moines and Normandy Park","2017","0",26,1202.07692307692,111.660887718815,825,1161.25,1222.5,1257.5,1360
"Des Moines and Normandy Park","2017","1",165,1275.2,214.885681462402,949,1160,1275,1350,3195
"Des Moines and Normandy Park","2017","2",271,1528.08856088561,182.92032139643,685,1450,1525,1595,3000
"Des Moines and Normandy Park","2017","3",42,1824.02380952381,247.026757521275,1075,1696,1812.5,1815,2800
"Des Moines and Normandy Park","2017","4+",7,2634.28571428571,754.024914328812,1995,2275,2350,2672.5,4200
"Des Moines and Normandy Park","2018","0",47,1067.10638297872,156.461029186261,470,1125,1125,1125,1285
"Des Moines and Normandy Park","2018","1",593,1311.80236486486,190.174040320952,150,1215,1300,1395,2300
"Des Moines and Normandy Park","2018","2",893,1567.94736842105,152.790253539246,491,1520,1575,1650,2295
"Des Moines and Normandy Park","2018","3",220,1908.61363636364,325.633027050929,375,1775,1895,2055,2800
"Des Moines and Normandy Park","2018","4+",41,2753.24390243902,786.878255529018,650,2400,2750,3100,5395
"Des Moines and Normandy Park","2019","0",51,1112.23529411765,246.904077587657,300,1102.5,1145,1219,1690
"Des Moines and Normandy Park","2019","1",578,2204.51663747811,22956.413334098,200,1225,1320,1385,549750
"Des Moines and Normandy Park","2019","2",682,1542.99092284418,386.740418669464,75,1515,1600,1680,4700
"Des Moines and Normandy Park","2019","3",249,1699.11934156379,650.326667879256,150,1737,1950,2055,2890
"Des Moines and Normandy Park","2019","4+",37,31438.0882352941,111658.366472174,35,1772,2457.5,2952.5,469999
"Des Moines and Normandy Park","2020","0",5,776,822.727172275232,300,300,300,780,2200
"Des Moines and Normandy Park","2020","1",110,1190.80952380952,255.306305295834,200,1105,1250,1300,1750
"Des Moines and Normandy Park","2020","2",154,1423.97183098592,503.992780310526,200,1477.5,1585,1690,2200
"Des Moines and Normandy Park","2020","3",42,1504.10810810811,846.580106591737,50,700,1784,1995,2700
"Des Moines and Normandy Park","2020","4+",8,1948.25,1281.96197291495,700,700,1898,2546.25,4295
"Des Moines and Normandy Park","2021","0",6,983.333333333333,137.537873571852,850,900,937.5,1031.25,1225
"Des Moines and Normandy Park","2021","1",709,1494.3850493653,124.488705052978,1145,1395,1525,1575,2000
"Des Moines and Normandy Park","2021","2",897,1803.80602006689,154.692942716267,900,1700,1800,1925,2100
"Des Moines and Normandy Park","2021","3",101,2111.09900990099,159.444692915788,1270,2100,2150,2150,2495
"Des Moines and Normandy Park","2021","4+",14,2379.35714285714,180.999620544803,2270,2314,2320,2320,2950
